name,budget,release_date,revenue,title,return,return_dire
John Lasseter,30000000.0,1995-10-30,373554033.0,Toy Story,12.4518011,27.65437835777778
Joe Johnston,65000000.0,1995-12-15,262797249.0,Jumanji,4.0430346,20.679023729121866
Forest Whitaker,16000000.0,1995-12-22,81452156.0,Waiting to Exhale,5.09075975,5.09075975
Martin Campbell,58000000.0,1995-11-16,352194034.0,GoldenEye,6.072310931034483,20.277274946780096
Oliver Stone,44000000.0,1995-12-22,13681765.0,Nixon,0.3109492045454545,58.012846160040326
Renny Harlin,98000000.0,1995-12-22,10017322.0,Cutthroat Island,0.1022175714285714,28.61361529101027
Allison Anders,4000000.0,1995-12-09,4300000.0,Four Rooms,1.075,inf
Robert Rodriguez,4000000.0,1995-12-09,4300000.0,Four Rooms,1.075,46.647748199526596
Quentin Tarantino,4000000.0,1995-12-09,4300000.0,Four Rooms,1.075,67.79752920242424
Steve Oedekerk,30000000.0,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,7.079517766666667,8.506556982352942
Lesli Linka Glatter,12000000.0,1995-10-20,27400000.0,Now and Then,2.283333333333333,2.283333333333333
Jean-Pierre Jeunet,18000000.0,1995-05-16,1738611.0,The City of Lost Children,0.0965895,20.963580667316016
Marc Caro,18000000.0,1995-05-16,1738611.0,The City of Lost Children,0.0965895,0.54513625
John N. Smith,0.0,1995-08-11,180000000.0,Dangerous Minds,inf,inf
Terry Gilliam,29500000.0,1995-12-29,168840000.0,Twelve Monkeys,5.7233898305084745,32.74493116880207
Chris Noonan,30000000.0,1995-07-18,254134910.0,Babe,8.471163666666667,9.640438366666668
Tim Robbins,11000000.0,1995-12-29,39363635.0,Dead Man Walking,3.5785122727272727,3.5785122727272727
Albert Hughes,10000000.0,1995-10-06,0.0,Dead Presidents,0.0,12.06550736607143
Allen Hughes,10000000.0,1995-10-06,0.0,Dead Presidents,0.0,12.96491019260204
Paul W.S. Anderson,18000000.0,1995-08-18,122195920.0,Mortal Kombat,6.788662222222222,33.807540636295926
David Fincher,33000000.0,1995-09-22,327311859.0,Se7en,9.91854118181818,38.78780574099535
Mike Gabriel,55000000.0,1995-06-14,346079773.0,Pocahontas,6.292359509090909,7.542826435879024
Eric Goldberg,55000000.0,1995-06-14,346079773.0,Pocahontas,6.292359509090909,7.428291634090909
Bryan Singer,6000000.0,1995-07-19,23341568.0,The Usual Suspects,3.890261333333333,22.72776626946486
Jason Bloom,15000000.0,1996-01-12,0.0,Bio-Dome,0.0,0.0
Farhad Mann,0.0,1996-01-12,2409225.0,Lawnmower Man 2: Beyond Cyberspace,inf,inf
F. Gary Gray,3500000.0,1995-04-26,28215918.0,Friday,8.061690857142857,34.083746014351604
Robert Rodriguez,19000000.0,1996-01-19,25836616.0,From Dusk Till Dawn,1.359821894736842,46.647748199526596
Andrew Sipes,50000000.0,1995-11-03,11534477.0,Fair Game,0.23068954,0.23068954
Michael Goldenberg,0.0,1996-01-26,19030691.0,Bed of Roses,inf,inf
Christian Duguay,20000000.0,1995-09-08,5781885.0,Screamers,0.28909425,inf
Brian Gibson,44000000.0,1996-02-02,0.0,The Juror,0.0,2.157719210526316
Gary Fleder,8000000.0,1995-12-01,529766.0,Things to Do in Denver When You're Dead,0.06622075,7.846358033771043
Marleen Gorris,900000.0,1995-09-12,0.0,Antonia's Line,0.0,inf
Ridley Scott,38000000.0,1996-02-02,10300000.0,White Squall,0.2710526315789474,53.87598968127727
Ken Kwapis,16000000.0,1996-01-12,0.0,Dunston Checks In,0.0,14.090580796528663
Mathieu Kassovitz,3000000.0,1995-05-31,0.0,La Haine,0.0,4.569906071428571
Wes Anderson,7000000.0,1996-02-21,560069.0,Bottle Rocket,0.0800098571428571,18.849509634801585
John Dahl,18000000.0,1996-02-23,0.0,Unforgettable,0.0,4.487119061231884
Étienne Chatiliez,13365000.0,1995-01-31,0.0,Happiness Is in the Field,0.0,0.0
Jon Blair,0.0,1995-06-08,1.0,Anne Frank Remembered,inf,inf
Reginald Hudlin,40000000.0,1992-06-30,70100000.0,Boomerang,1.7525,13.461532816091953
David O. Russell,7000000.0,1996-03-22,14702438.0,Flirting with Disaster,2.100348285714286,25.046973089761906
Peter MacDonald,17000000.0,1994-10-26,0.0,The Neverending Story III: Escape from Fantasia,0.0,3.000247793650794
Dirk Shafer,0.0,1995-09-15,209935.0,Man of the Year,inf,inf
Jon Avnet,60000000.0,1996-03-01,0.0,Up Close & Personal,0.0,12.640166263636365
Michael Bay,19000000.0,1995-04-07,141407024.0,Bad Boys,7.442474947368421,50.89889329762483
Paul Auster,2000000.0,1995-09-15,1275000.0,Blue in the Face,0.6375,1.8302757142857145
Wayne Wang,2000000.0,1995-09-15,1275000.0,Blue in the Face,0.6375,inf
Spike Lee,25000000.0,1995-09-15,13071518.0,Clockers,0.52286072,20.658114708437118
Frank Marshall,50000000.0,1995-06-09,152022101.0,Congo,3.04044202,8.916169429475806
Robert Rodriguez,7000000.0,1995-08-25,25405445.0,Desperado,3.6293492857142855,46.647748199526596
John McTiernan,90000000.0,1995-05-19,366101666.0,Die Hard: With a Vengeance,4.067796288888889,26.639190684093137
Iain Softley,20000000.0,1995-09-14,7563728.0,Hackers,0.3781864,4.523540639147287
Robert Longo,25000000.0,1995-05-26,19075720.0,Johnny Mnemonic,0.7630288,0.7630288
