title,runtime,release_year
Toy Story,81.0,1995.0
Jumanji,104.0,1995.0
Grumpier Old Men,101.0,1995.0
Waiting to Exhale,127.0,1995.0
Father of the Bride Part II,106.0,1995.0
Heat,170.0,1995.0
Sabrina,127.0,1995.0
Tom and Huck,97.0,1995.0
Sudden Death,106.0,1995.0
GoldenEye,130.0,1995.0
The American President,106.0,1995.0
Dracula: Dead and Loving It,88.0,1995.0
Balto,78.0,1995.0
Nixon,192.0,1995.0
Cutthroat Island,119.0,1995.0
Casino,178.0,1995.0
Sense and Sensibility,136.0,1995.0
Four Rooms,98.0,1995.0
Ace Ventura: When Nature Calls,90.0,1995.0
Money Train,103.0,1995.0
Get Shorty,105.0,1995.0
Copycat,124.0,1995.0
Assassins,132.0,1995.0
Powder,111.0,1995.0
Leaving Las Vegas,112.0,1995.0
Othello,123.0,1995.0
Now and Then,100.0,1995.0
Persuasion,104.0,1995.0
The City of Lost Children,108.0,1995.0
Shanghai Triad,108.0,1995.0
Dangerous Minds,99.0,1995.0
Twelve Monkeys,129.0,1995.0
Wings of Courage,50.0,1996.0
Babe,89.0,1995.0
Carrington,121.0,1995.0
Dead Man Walking,122.0,1995.0
Across the Sea of Time,51.0,1995.0
It Takes Two,101.0,1995.0
Clueless,97.0,1995.0
"Cry, the Beloved Country",106.0,1995.0
Richard III,104.0,1995.0
Dead Presidents,119.0,1995.0
Restoration,117.0,1995.0
Mortal Kombat,101.0,1995.0
To Die For,106.0,1995.0
How To Make An American Quilt,116.0,1995.0
Se7en,127.0,1995.0
Pocahontas,81.0,1995.0
When Night Is Falling,96.0,1995.0
The Usual Suspects,106.0,1995.0
Guardian Angel,93.0,1994.0
Mighty Aphrodite,95.0,1995.0
Lamerica,116.0,1994.0
The Big Green,100.0,1995.0
Georgia,115.0,1995.0
Kids of the Round Table,89.0,1997.0
Home for the Holidays,103.0,1995.0
The Postman,108.0,1994.0
The Confessional,100.0,1995.0
The Indian in the Cupboard,96.0,1995.0
Eye for an Eye,101.0,1996.0
Mr. Holland's Opus,137.0,1995.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,1996.0
Two If by Sea,96.0,1996.0
Bio-Dome,88.0,1996.0
Lawnmower Man 2: Beyond Cyberspace,92.0,1996.0
Two Bits,85.0,1995.0
French Twist,95.0,1995.0
Friday,91.0,1995.0
From Dusk Till Dawn,108.0,1996.0
Fair Game,91.0,1995.0
Kicking and Screaming,96.0,1995.0
Les Miserables,175.0,1995.0
Bed of Roses,87.0,1996.0
