id,genres
862,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
8844,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]"
15602,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
31357,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
11862,"[{'id': 35, 'name': 'Comedy'}]"
949,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
11860,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
45325,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
9091,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
710,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
9087,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
12110,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]"
21032,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]"
10858,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]"
1408,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
524,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
4584,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
5,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]"
9273,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]"
11517,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
8012,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
1710,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
9691,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
12665,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
451,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
16420,"[{'id': 18, 'name': 'Drama'}]"
9263,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
17015,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
902,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]"
37557,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
9909,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
63,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]"
78802,"[{'id': 10749, 'name': 'Romance'}, {'id': 12, 'name': 'Adventure'}]"
9598,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
47018,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
687,"[{'id': 18, 'name': 'Drama'}]"
139405,"[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
33689,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
9603,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
34615,"[{'id': 18, 'name': 'Drama'}]"
31174,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]"
11443,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
35196,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9312,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
577,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
11861,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
807,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
10530,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
8391,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
629,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
117164,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
11448,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
49133,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
26441,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
97406,"[{'id': 18, 'name': 'Drama'}]"
124057,[]
9089,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
11010,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
99040,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]"
11359,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
17182,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2054,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
10607,"[{'id': 35, 'name': 'Comedy'}]"
19760,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
9536,"[{'id': 35, 'name': 'Comedy'}]"
11525,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
40628,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
4482,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
10634,"[{'id': 35, 'name': 'Comedy'}]"
755,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
11859,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
28387,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
48750,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
20927,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
36929,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
9102,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
124626,"[{'id': 99, 'name': 'Documentary'}]"
27526,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
9623,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
46785,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]"
400,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
880,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
146599,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
188588,[]
8447,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
10534,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
17414,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
13997,"[{'id': 35, 'name': 'Comedy'}]"
2086,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
61548,"[{'id': 18, 'name': 'Drama'}]"
9095,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
12158,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]"
9283,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
9208,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
40154,"[{'id': 35, 'name': 'Comedy'}]"
406,"[{'id': 18, 'name': 'Drama'}]"
45549,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
63076,"[{'id': 99, 'name': 'Documentary'}]"
11062,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
13685,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
47475,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2045,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
9614,"[{'id': 35, 'name': 'Comedy'}]"
688,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
11907,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
10874,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]"
89333,"[{'id': 99, 'name': 'Documentary'}]"
96357,"[{'id': 80, 'name': 'Crime'}]"
197,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
103,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
33542,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
43566,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
71754,"[{'id': 18, 'name': 'Drama'}]"
43612,"[{'id': 35, 'name': 'Comedy'}]"
51352,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
