id,original_language
862,en
8844,en
15602,en
31357,en
11862,en
949,en
11860,en
45325,en
9091,en
710,en
9087,en
12110,en
21032,en
10858,en
1408,en
524,en
4584,en
5,en
9273,en
11517,en
8012,en
1710,en
9691,en
12665,en
451,en
16420,en
9263,en
17015,en
902,fr
37557,zh
9909,en
63,en
78802,fr
9598,en
47018,en
687,en
139405,en
33689,en
9603,en
34615,en
31174,en
11443,en
35196,en
9312,en
577,en
11861,en
807,en
10530,en
8391,en
629,en
117164,en
11448,en
49133,it
26441,en
97406,en
124057,en
9089,en
11010,it
99040,fr
11359,en
17182,en
2054,en
10607,en
19760,en
9536,en
11525,en
40628,en
4482,fr
10634,en
755,en
11859,en
28387,en
48750,fr
20927,en
36929,en
9102,en
124626,en
27526,en
9623,en
46785,fa
400,en
880,nl
146599,en
188588,en
8447,en
10534,en
17414,en
13997,en
2086,en
61548,en
9095,en
12158,en
9283,en
9208,en
40154,en
406,fr
45549,en
63076,en
11062,en
13685,en
47475,en
2045,en
9614,en
688,en
11907,de
10874,en
89333,en
96357,en
197,en
103,en
33542,cn
43566,en
71754,en
43612,en
51352,en
16934,en
10324,en
78406,en
55731,en
32119,en
11066,en
11104,cn
37975,it
2074,en
27793,en
44284,ar
290157,en
110972,en
32622,en
73067,it
11863,en
55475,es
124636,en
9101,en
123360,en
5757,en
39428,en
124639,en
9302,en
11000,en
249882,en
16388,en
9737,en
30765,en
10474,en
22279,en
30157,en
568,en
11780,en
34996,en
414,en
649,fr
1873,en
5894,en
1775,en
8839,en
20649,en
10329,en
8963,en
26564,en
8068,en
8512,en
1572,en
13552,en
259209,en
6520,en
9073,en
10428,en
17447,en
9886,en
9482,en
19326,en
9344,en
9071,en
8973,en
15730,en
47608,en
2293,en
9070,en
68274,en
48787,en
34574,en
1642,en
11472,en
36196,en
11980,en
58372,en
32646,en
10533,en
10802,en
10149,en
18402,en
9348,en
139408,en
281,en
5967,fr
79593,en
47939,en
36834,en
9090,en
3512,en
52856,en
77350,en
9560,en
9804,en
31611,en
65796,en
49805,en
26258,en
50797,ru
19155,en
76,en
11017,en
37141,en
9382,en
6715,en
18256,en
22625,en
2292,en
1909,en
8984,en
61813,en
4954,en
62488,it
10531,en
11929,en
8467,en
10451,zh
20156,en
18395,en
522,en
397,en
10525,en
27985,en
15789,en
27303,en
21183,en
10954,fr
47867,en
43475,en
72031,en
14275,en
1024,en
17207,en
13701,en
14819,en
32631,en
11777,en
628,en
87729,en
18713,en
6280,en
9061,en
37108,en
6071,en
11,en
9587,en
19101,en
49980,en
17961,fr
18183,es
4476,en
11008,en
47504,en
32325,en
43742,en
28313,en
11318,en
3036,en
40490,en
24070,en
8986,en
10510,en
17402,en
38722,en
8438,en
11593,en
1945,en
39310,en
109560,en
56428,en
63105,en
131957,en
241,en
9058,en
527,en
18220,en
6950,en
101,fr
63020,en
2307,en
680,en
41478,en
25296,zh
40156,en
11450,en
30304,en
10452,fr
12106,en
161495,sv
3586,en
110,fr
108,fr
109,fr
159185,zh
36357,en
92769,en
28033,en
22586,en
14334,en
2636,en
2164,en
11395,en
278,en
9905,en
87078,en
12527,es
20306,en
36614,en
27993,en
31439,zh
9067,en
9059,en
193,en
25066,en
46797,en
12122,en
11381,en
32636,en
36141,en
95963,en
1587,en
9271,en
2064,en
19855,en
60855,en
236,en
48287,en
3049,en
2759,en
12635,en
10497,en
11382,en
9331,en
10731,en
10464,en
34152,en
9495,en
29973,en
888,en
13,en
712,en
16295,en
48992,en
10879,en
10660,en
10714,en
41647,en
8587,en
1689,en
11596,en
854,en
9359,en
23333,en
36593,en
12280,en
2788,en
10427,en
11011,en
49803,en
8987,en
1637,en
15128,en
8831,en
36955,en
10449,en
10395,en
12160,en
40480,en
52038,en
29444,en
26352,en
39953,en
41580,fr
315,en
22067,en
18242,en
11667,en
32502,en
267188,en
28732,en
75555,en
42981,en
278939,en
291731,en
226229,en
203119,en
172923,en
316098,en
8011,en
171857,en
2654,en
18069,en
19092,en
2758,en
38129,en
10436,en
13595,en
46094,en
9409,en
11853,en
16771,en
46924,en
11041,en
306,en
14522,en
26203,en
178,en
19819,en
57834,en
4722,en
18215,en
1607,en
26391,en
117553,en
6075,en
11310,en
18658,en
9350,en
9612,en
2124,en
26261,en
19176,en
49299,en
11566,en
9571,en
9739,en
24257,en
34444,en
26141,en
10997,zh
50463,en
10443,en
20239,en
16297,en
18551,en
25440,en
9024,en
37233,en
1634,en
13815,en
5503,en
35588,en
2087,en
41579,en
18620,en
41006,en
4916,en
2019,en
31642,en
9255,en
26271,en
10612,en
2259,en
16097,en
11934,en
106143,en
12475,en
9386,en
7984,en
59930,en
15765,en
31643,en
6,en
329,en
10909,en
507,en
34024,en
29918,en
9593,en
42580,en
22317,en
1413,en
12121,en
2246,en
10502,en
10440,en
9516,en
2320,en
5879,ja
83718,en
11971,en
2625,en
31911,en
788,en
21450,en
11231,en
41588,en
10447,en
31586,en
9300,en
9559,en
9800,en
713,en
8291,en
18133,en
25557,en
22588,en
10872,en
1245,en
11858,en
7007,en
10467,en
5550,en
8005,en
2088,en
10412,en
47889,en
14534,en
56583,en
41878,fr
424,en
35233,en
14291,en
103413,en
11236,en
11592,en
8850,en
10445,en
695,en
43535,en
12519,en
23210,en
858,en
867,en
78,en
13203,en
10442,en
11074,en
33367,en
9607,en
17585,en
9057,en
20967,en
10635,en
9479,en
10057,en
11969,en
41590,en
319,en
26408,en
15139,en
161158,en
218473,en
85247,en
11446,en
51980,en
24405,en
11655,en
11800,en
8223,es
14587,en
31504,en
41653,sv
53185,en
95743,en
23637,en
17600,en
10897,en
349394,en
21352,en
68806,it
37345,en
32562,en
47507,en
25403,it
124304,en
9066,en
771,en
251,en
812,en
280,en
581,en
80350,en
268,en
274,en
408,en
10020,en
10895,en
114,en
41043,ru
576,en
15477,en
59146,en
124472,en
30528,en
7300,en
10824,en
261246,en
275,en
25059,en
11827,en
8766,en
23570,en
47333,en
54850,en
