id_original,name,id
862,Pixar Animation Studios,3
8844,TriStar Pictures,559
8844,Teitler Film,2550
8844,Interscope Communications,10201
15602,Warner Bros.,6194
15602,Lancaster Gate,19464
31357,Twentieth Century Fox Film Corporation,306
11862,Sandollar Productions,5842
11862,Touchstone Pictures,9195
949,Regency Enterprises,508
949,Forward Pass,675
949,Warner Bros.,6194
11860,Paramount Pictures,4
11860,Scott Rudin Productions,258
11860,Mirage Enterprises,932
11860,Sandollar Productions,5842
11860,Constellation Entertainment,14941
11860,Worldwide,55873
11860,Mont Blanc Entertainment GmbH,58079
45325,Walt Disney Pictures,2
9091,Universal Pictures,33
9091,Imperial Entertainment,21437
9091,Signature Entertainment,23770
710,United Artists,60
710,Eon Productions,7576
9087,Columbia Pictures,5
9087,Castle Rock Entertainment,97
12110,Columbia Pictures,5
12110,Castle Rock Entertainment,97
12110,Enigma Pictures,6368
21032,Universal Pictures,33
21032,Amblin Entertainment,56
21032,Amblimation,4105
10858,Hollywood Pictures,915
10858,Cinergi Pictures Entertainment,1504
1408,Le Studio Canal+,183
1408,Laurence Mark Productions,415
1408,Metro-Goldwyn-Mayer (MGM),8411
1408,Carolco Pictures,14723
524,Universal Pictures,33
524,Légende Entreprises,10898
524,Syalis DA,11583
524,De Fina-Cappa,11584
4584,Columbia Pictures Corporation,441
4584,Mirage Enterprises,932
5,Miramax Films,14
5,A Band Apart,59
9273,O Entertainment,5682
9273,Warner Bros.,6194
9273,Morgan Creek Productions,10210
11517,Columbia Pictures,5
8012,Jersey Films,216
8012,Metro-Goldwyn-Mayer (MGM),8411
1710,Regency Enterprises,508
1710,New Regency Pictures,10104
9691,Silver Pictures,1885
9691,Canal+,5358
9691,Warner Bros.,6194
9691,Dino De Laurentiis Company,10308
9691,Donner/Shuler-Donner Productions,23397
9691,Evansgideon/Lazar,25061
12665,Caravan Pictures,175
12665,Hollywood Pictures,915
451,United Artists,60
451,Intial Productions,15547
16420,Columbia Pictures,5
16420,Castle Rock Entertainment,97
9263,New Line Cinema,12
17015,BBC Films,288
902,Procirep,311
902,Constellation Productions,590
902,France 3 Cinéma,591
902,Claudie Ossard Productions,592
902,Eurimages,850
902,MEDIA Programme of the European Union,851
902,Cofimage 5,1871
902,Televisión Española (TVE),6639
902,Tele München Fernseh Produktionsgesellschaft (TMG),7237
902,Club d'Investissement Média,8170
902,Canal+ España,9335
902,Elías Querejeta Producciones Cinematográficas S.L.,12009
902,Centre National de la Cinématographie (CNC),18367
902,Victoires Productions,25020
902,Constellation,25021
902,Lumière Pictures,25129
902,Canal+,47532
902,Studio Image,68517
902,Cofimage 4,79437
902,Ossane,79438
902,Phoenix Images,79439
37557,Ministère des Affaires Étrangères,2588
37557,Alpha Films,4507
37557,La Sept Cinéma,23647
9909,Hollywood Pictures,915
9909,Via Rosa Productions,10103
9909,Don Simpson/Jerry Bruckheimer Films,10288
63,Universal Pictures,33
63,Atlas Entertainment,507
63,Classico,17031
78802,Iwerks Entertainment,70801
9598,Universal Pictures,33
9598,Kennedy Miller Productions,2537
47018,StudioCanal,694
47018,Cinéa,874
47018,Euston Films,8363
47018,Freeway Films,19316
47018,European Co-production Fund,30226
47018,Polygram Filmed Entertainment,31080
47018,Orsans Productions,44821
687,Havoc,406
687,PolyGram Filmed Entertainment,1382
687,Working Title Films,10163
139405,Sony New Technologies,53390
33689,Dualstar Productions,6130
33689,Warner Bros.,6194
33689,Rysher Entertainment,11661
33689,Orr & Cruickshank,89131
9603,Paramount Pictures,4
34615,Miramax,53009
34615,Distant Horizon,85681
34615,Alpine Pty Limited,89840
31174,British Screen,871
31174,Mayfair Entertainment International,34237
11443,Caravan Pictures,175
11443,Underworld Entertainment,476
11443,Hollywood Pictures,915
35196,Miramax Films,14
9312,New Line Cinema,12
9312,Threshold Entertainment,4174
577,The Rank Organisation,364
577,Columbia Pictures Corporation,441
11861,Universal Pictures,33
11861,Amblin Entertainment,56
807,New Line Cinema,12
807,Juno Pix,4286
807,Cecchi Gori Pictures,65394
10530,Walt Disney Pictures,2
10530,Walt Disney Feature Animation,10217
8391,Alliance Communications Corporation,2480
629,Blue Parrot Productions,361
629,Bad Hat Harry Productions,9168
117164,,
11448,Miramax Films,14
11448,Magnolia Pictures,1030
49133,,
26441,Walt Disney Pictures,2
26441,Caravan Pictures,175
97406,Miramax Films,14
97406,CiBy 2000,7832
124057,Telefilm Canada,7320
124057,Melenny Productions,10260
9089,Paramount Pictures,4
9089,Egg Pictures,802
9089,PolyGram Filmed Entertainment,1382
11010,,
99040,,
11359,Paramount Pictures,4
11359,Columbia Pictures Corporation,441
11359,The Kennedy/Marshall Company,862
17182,Paramount Pictures,4
2054,Hollywood Pictures,915
2054,The Charlie Mopic Company,916
2054,PolyGram Filmed Entertainment,1382
2054,Interscope Communications,10201
10607,Miramax Films,14
10607,Island Pictures,3492
10607,Ivory Way Productions,5441
19760,Warner Bros.,6194
19760,Morgan Creek Productions,10210
9536,Metro-Goldwyn-Mayer (MGM),8411
9536,Motion Picture Corporation of America (MPCA),11061
9536,3 Arts Entertainment,36390
9536,Weasel Productions,38003
11525,New Line Cinema,12
40628,Miramax Films,14
4482,Renn Productions,82
4482,Les Films Flam,1614
4482,TF1 Films Production,3823
4482,Canal+,5358
10634,New Line Cinema,12
755,A Band Apart,59
755,Dimension Films,7405
755,Los Hooligans Productions,11705
755,Miramax,53009
11859,Silver Pictures,1885
11859,Warner Bros.,6194
28387,Castleberg Productions,5841
28387,Sandollar Productions,5842
48750,Les Films 13,1742
48750,Canal+,5358
48750,TF1,22123
20927,New Line Cinema,12
20927,Juno Pix,4286
36929,Warner Bros.,6194
36929,Morgan Creek Productions,10210
9102,The Movie Network (TMN),3388
9102,Allegro Films,4899
9102,Fuji Eight Company Ltd.,7958
9102,Fries Film Group,23096
9102,Super Ecran,23097
9102,Triumph Films,23098
124626,Zweites Deutsches Fernsehen (ZDF),4606
124626,Ciak Filmproduktion,83201
124626,Bluehorse Films,93174
27526,Miramax Films,14
9623,Columbia Pictures Corporation,441
46785,I.R.I.B. Channel 2,38953
46785,Ferdos Films,38954
400,Miramax Films,14
880,Bergen Film,575
880,Bard Entertainments,576
880,NPS Televisie,577
146599,BET Pictures,38196
146599,United Image Entertainme,38197
188588,,
8447,Playhouse International Pictures,2492
8447,The Samuel Goldwyn Company,8888
10534,Hollywood Pictures,915
10534,Largo Entertainment,1644
10534,Scott Free Productions,1645
17414,Twentieth Century Fox Film Corporation,306
17414,Joe Wizan/Todd Black,3311
13997,Paramount Pictures,4
2086,Paramount Pictures,4
61548,Miramax Films,14
61548,Addis Wechsler Pictures,4665
9095,TriStar Pictures,559
9095,NFH Productions,18737
12158,Paramount Pictures,4
9283,Miramax Films,14
9283,Woods Entertainment,979
9208,Twentieth Century Fox Film Corporation,306
9208,WCG Entertainment Productions,456
9208,Mark Gordon Productions,11362
40154,Castle Rock Entertainment,97
40154,Midwinter Films,75942
406,Egg Pictures,802
406,PolyGram Filmed Entertainment,1382
406,Canal+,5358
406,Les Productions Lazennec,5869
406,La Sept Cinéma,16366
406,Kasso Inc. Productions,22684
406,Studio Image,68517
406,Cofinergie 6,68518
45549,Channel Four Films,181
63076,British Broadcasting Corporation (BBC),3324
63076,Westdeutscher Rundfunk (WDR),7025
63076,Canadian Broadcasting Corporation (CBC),12113
63076,Cinemax Reel Life,12911
63076,InPictures,12912
63076,Lafayette Films,12913
11062,Columbia Pictures,5
11062,Castle Rock Entertainment,97
13685,Gracie Films,18
