original_language,id
ab,10
af,2
am,2
ar,38
ay,1
bg,10
bm,3
bn,29
bo,2
bs,13
ca,12
cn,310
cs,128
cy,1
da,224
de,1072
el,112
en,31893
eo,1
es,982
et,24
eu,3
fa,97
fi,287
fr,2417
fy,1
gl,1
he,66
hi,501
hr,29
hu,97
hy,1
id,20
is,23
it,1510
iu,2
ja,1342
jv,1
ka,18
kk,3
kn,3
ko,442
ku,3
ky,3
la,1
lb,1
lo,2
lt,9
lv,17
mk,5
ml,36
mn,2
mr,24
ms,5
mt,1
nb,6
ne,2
nl,243
no,106
pa,2
pl,212
ps,2
pt,313
qu,1
ro,57
ru,816
rw,1
sh,5
si,1
sk,9
sl,16
sm,1
sq,5
sr,63
sv,383
ta,78
te,45
tg,1
th,75
tl,22
tr,141
uk,16
ur,8
uz,1
vi,10
wo,5
xx,32
zh,405
zu,1
