id_original,name
100,Guy Ritchie
10000,Sergio Cabrera
10001,Yahoo Serious
100010,Frank Borzage
100017,Angelina Maccarone
10002,Neil Jordan
100024,Eric Wostenberg
10003,Phillip Noyce
100032,Larry Elikann
100033,Hiroshi Shimizu
10004,Mick Garris
100042,"Bobby Farrelly,Peter Farrelly"
100046,Lee Kirk
10005,James Dodson
100057,Matt D'Elia
10006,James M. Hausler
100061,Benjamin Gilmour
100063,Eddy Matalon
10007,Gregory Dark
10008,Courtney Solomon
100085,"Marta Arribas,Ana Pérez"
100086,Sabiha Sumar
100088,Robert Hartford-Davis
100089,Joseph J. Lawson
10009,"Aaron Blaise,Robert Walker"
10010,Ben Gluck
10011,Ryan Schifrin
100110,Don Coscarelli
10012,Wes Craven
100122,Álvaro Fernández Armero
10013,Francis Ford Coppola
10014,Jack Sholder
10015,Clint Eastwood
100152,Anna Melikyan
10016,John Carpenter
100167,Buddy Giovinazzo
10017,Mike Marvin
100179,Arnold L. Miller
10018,Wolfgang Becker
100183,Steve Barker
100185,Ray Argall
10019,Michael Gottlieb
100196,Alan Wade
10020,"Gary Trousdale,Kirk Wise"
100205,Frank Zappa
10021,Herbert Ross
100215,"Károly Makk,János Xantus"
10022,Adam Shankman
100224,Werner Herzog
10023,Tom Mankiewicz
10024,Nick Cassavetes
100241,Stuart Beattie
100243,Lars Henning Jung
100246,Winsor McCay
100247,"Winsor McCay,J. Stuart Blackton"
10025,Donald Petrie
100250,Eugenie Jansen
100257,"Ken Annakin,Harold French,Arthur Crabtree,Ralph Smart"
10027,Louis Leterrier
100270,Juan Martínez Moreno
100271,Hiroyuki Okiura
100272,Keith Wright
100274,Derek Franson
100275,Boris Rodriguez
10028,Bille Woodruff
100287,"Bente Milton,Mikkel Stolt"
100288,Krzysztof Zanussi
10029,Peter Berg
100292,Jacob Hatley
10030,Mark Helfrich
10032,Mort Nathan
10033,Roger Kumble
10034,Mel Smith
100341,Matej Minac
10035,Michael Davis
100351,Gordon Douglas
10036,Sven Unterwaldt Jr.
10037,Henry Crum
10040,John Pasquin
100402,"Anthony Russo,Joe Russo"
100409,Sophie Fiennes
10041,"Adam Mason,Simon Boyes"
100416,J.B. Rogers
100420,Gregory La Cava
10044,Sammo Hung
10045,Pierre Morel
100450,"R. Kelly,Jim Swaffield"
10046,Jan Kounen
100461,Nagisa Ōshima
100468,Corrado Farina
10047,Luc Besson
10048,Rob Cohen
10049,Michael Keusch
100490,John Erman
100493,Darren Lynn Bousman
10050,Tommy O'Haver
10051,Danièle Thompson
10052,Tom Shadyac
100526,Roy Boulting
100528,Harold S. Bucquet
100529,Daryl Wein
10053,Simon West
100532,"Adi Lavy,Maya Stark"
10054,Robert Rodriguez
100540,Mischa Webley
100544,Brian A Miller
10055,Michael Hurst
10056,Stanley Kubrick
100568,William Roth
10057,Stephen Herek
100592,Jiří Trnka
100594,"Tero Molin,Tommi Lepola"
10060,Jim Sheridan
