id_x,name,id_pelicula
3,Pixar Animation Studios,862
6194,Warner Bros.,15602
19464,Lancaster Gate,11862
5842,Sandollar Productions,710
9195,Touchstone Pictures,21032
60,United Artists,9273
7576,Eon Productions,8012
33,Universal Pictures,9598
56,Amblin Entertainment,9312
4105,Amblimation,10530
5682,O Entertainment,11525
6194,Warner Bros.,10634
10210,Morgan Creek Productions,755
216,Jersey Films,9102
8411,Metro-Goldwyn-Mayer (MGM),10874
33,Universal Pictures,27793
2537,Kennedy Miller Productions,9737
12,New Line Cinema,414
4174,Threshold Entertainment,5894
2,Walt Disney Pictures,8839
10217,Walt Disney Feature Animation,8068
12,New Line Cinema,1572
12,New Line Cinema,13552
59,A Band Apart,9073
7405,Dimension Films,9070
11705,Los Hooligans Productions,1642
53009,Miramax,11980
3388,The Movie Network (TMN),10802
4899,Allegro Films,10149
7958,Fuji Eight Company Ltd.,9348
23096,Fries Film Group,3512
23097,Super Ecran,50797
23098,Triumph Films,76
2,Walt Disney Pictures,2292
2504,Jim Henson Productions,8467
6254,"Jim Henson Company, The",15789
264,Studio Babelsberg,628
1766,Dieter Geissler Filmproduktion,11
1979,Cinevox Filmproduktion GmbH,63105
6194,Warner Bros.,527
53009,Miramax,18220
5,Columbia Pictures,110
10288,Don Simpson/Jerry Bruckheimer Films,108
6194,Warner Bros.,109
31080,Polygram Filmed Entertainment,22586
14,Miramax Films,11395
30334,InterAL,9059
33,Universal Pictures,193
56,Amblin Entertainment,3049
11098,The Harvey Entertainment Company,9331
5,Columbia Pictures,9495
11705,Los Hooligans Productions,888
306,Twentieth Century Fox Film Corporation,8587
1504,Cinergi Pictures Entertainment,11596
729,Why Not Productions,854
1474,Desperate Pictures,36593
2765,Blurco,11011
18902,The Teen Angst Movie Company,1637
508,Regency Enterprises,8831
644,Alcor Films,11667
5358,Canal+,75555
5739,Donner/Shuler-Donner Productions,8011
6194,Warner Bros.,2758
306,Twentieth Century Fox Film Corporation,9409
2106,Saban Entertainment,306
9255,Toei Company,11310
5,Columbia Pictures,24257
7405,Dimension Films,1634
60,United Artists,5503
183,Le Studio Canal+,2019
14723,Carolco Pictures,9255
14,Miramax Films,16097
8411,Metro-Goldwyn-Mayer (MGM),329
508,Regency Enterprises,11231
6194,Warner Bros.,5550
17825,Seagal/Nasso Productions,11236
21480,Victor Company of Japan (JVC),8850
63906,Cutting Edge Films,78
5358,Canal+,9066
6453,Studio Trite,771
6454,Caméra One,812
98,Detour Film Production,280
6194,Warner Bros.,268
14,Miramax Films,274
16934,View Askew Productions,10020
12,New Line Cinema,10824
11061,Motion Picture Corporation of America (MPCA),25059
2,Walt Disney Pictures,11827
360,Geffen Pictures,8766
1,Lucasfilm,19042
306,Twentieth Century Fox Film Corporation,954
7954,Filmwerks,8840
21437,Imperial Entertainment,25087
293,Avalon Studios,5801
294,New Zealand Film Commission,896
295,New Zealand On Air,8072
