ID_Genero,Genero
16,Animation
35,Comedy
10751,Family
10749,Romance
35,Comedy
35,Comedy
12,Adventure
28,Action
53,Thriller
10751,Family
16,Animation
12,Adventure
80,Crime
35,Comedy
12,Adventure
35,Comedy
53,Thriller
80,Crime
14,Fantasy
18,Drama
35,Comedy
10751,Family
28,Action
14,Fantasy
12,Adventure
16,Animation
18,Drama
10751,Family
28,Action
878,Science Fiction
35,Comedy
27,Horror
28,Action
53,Thriller
80,Crime
27,Horror
878,Science Fiction
28,Action
35,Comedy
10402,Music
10751,Family
12,Adventure
14,Fantasy
28,Action
35,Comedy
80,Crime
53,Thriller
28,Action
80,Crime
14,Fantasy
35,Comedy
14,Fantasy
35,Comedy
10751,Family
53,Thriller
28,Action
80,Crime
28,Action
53,Thriller
28,Action
35,Comedy
80,Crime
18,Drama
12,Adventure
28,Action
12,Adventure
878,Science Fiction
10751,Family
14,Fantasy
80,Crime
18,Drama
9648,Mystery
53,Thriller
28,Action
14,Fantasy
27,Horror
53,Thriller
18,Drama
35,Comedy
18,Drama
878,Science Fiction
27,Horror
28,Action
28,Action
53,Thriller
18,Drama
18,Drama
10749,Romance
35,Comedy
35,Comedy
10749,Romance
16,Animation
10751,Family
35,Comedy
12,Adventure
27,Horror
10749,Romance
12,Adventure
28,Action
878,Science Fiction
878,Science Fiction
28,Action
53,Thriller
18,Drama
18,Drama
10749,Romance
53,Thriller
18,Drama
9648,Mystery
10749,Romance
18,Drama
10402,Music
9648,Mystery
35,Comedy
18,Drama
9648,Mystery
16,Animation
14,Fantasy
18,Drama
35,Comedy
10751,Family
27,Horror
35,Comedy
53,Thriller
878,Science Fiction
28,Action
12,Adventure
53,Thriller
35,Comedy
9648,Mystery
28,Action
18,Drama
53,Thriller
14,Fantasy
28,Action
53,Thriller
14,Fantasy
35,Comedy
10751,Family
10751,Family
16,Animation
18,Drama
27,Horror
53,Thriller
9648,Mystery
14,Fantasy
10749,Romance
35,Comedy
80,Crime
14,Fantasy
35,Comedy
