id,name_genres,id_genres
100,'Comedy' 'Crime',"'35,80'"
10000,'Comedy' 'Drama',"'35,18'"
10001,'Comedy' 'Science Fiction',"'35,878'"
100010,'Drama' 'War',"'18,10752'"
100017,'Drama','18'
10002,'Drama' 'Crime' 'Romance',"'18,80,10749'"
100024,'Horror' 'Thriller',"'27,53'"
10003,'Thriller' 'Action' 'Romance' 'Science Fiction' 'Adventure',"'53,28,10749,878,12'"
100032,'Drama' 'Action',"'18,28'"
100033,'Drama','18'
10004,'Drama' 'Fantasy' 'Horror' 'Thriller' 'Mystery',"'18,14,27,53,9648'"
100042,'Comedy','35'
100046,'Comedy' 'Drama' 'Romance',"'35,18,10749'"
10005,'Action' 'Adventure' 'Thriller',"'28,12,53'"
100057,'Comedy' 'Drama',"'35,18'"
10006,'Action' 'Crime' 'Drama',"'28,80,18'"
100061,'Drama' 'War',"'18,10752'"
100063,'Action' 'Thriller',"'28,53'"
10007,'Horror' 'Thriller',"'27,53'"
10008,'Horror' 'Thriller',"'27,53'"
100085,'',''
100086,'',''
100088,'Action' 'Thriller' 'Crime',"'28,53,80'"
100089,'Adventure' 'Horror' 'Action' 'Thriller' 'Science Fiction',"'12,27,28,53,878'"
10009,'Adventure' 'Animation' 'Family',"'12,16,10751'"
10010,'Adventure' 'Animation' 'Family',"'12,16,10751'"
10011,'Horror' 'Thriller',"'27,53'"
100110,'Action' 'Adventure' 'Thriller',"'28,12,53'"
10012,'Horror' 'Comedy',"'27,35'"
100122,'Horror' 'Thriller' 'Foreign',"'27,53,10769'"
10013,'Comedy' 'Drama' 'Fantasy' 'Romance',"'35,18,14,10749'"
10014,'Horror','27'
10015,'Action' 'Comedy' 'Drama' 'War',"'28,35,18,10752'"
100152,'Comedy','35'
10016,'Action' 'Horror' 'Science Fiction',"'28,27,878'"
100167,'Drama','18'
10017,'Romance' 'Science Fiction' 'Horror' 'Action' 'Crime',"'10749,878,27,28,80'"
100179,'Documentary','99'
10018,'Romance' 'Drama' 'Comedy',"'10749,18,35'"
100183,'Action' 'Horror',"'28,27'"
100185,'',''
10019,'Fantasy' 'Comedy' 'Romance',"'14,35,10749'"
100196,'Comedy' 'Drama' 'Romance',"'35,18,10749'"
10020,'Romance' 'Family' 'Animation' 'Fantasy' 'Music',"'10749,10751,16,14,10402'"
100205,'',''
10021,'Comedy','35'
100215,'Drama' 'History',"'18,36'"
10022,'Action' 'Comedy' 'Drama' 'Family' 'Thriller',"'28,35,18,10751,53'"
100224,'Documentary','99'
10023,'Action' 'Comedy' 'Crime',"'28,35,80'"
10024,'Drama','18'
100241,'Horror' 'Thriller',"'27,53'"
100243,'Drama' 'Thriller',"'18,53'"
100246,'Animation' 'Comedy',"'16,35'"
100247,'Animation' 'Comedy',"'16,35'"
10025,'Comedy' 'Drama' 'Family' 'Fantasy' 'Romance',"'35,18,10751,14,10749'"
100250,'',''
100257,'Drama','18'
10027,'Action' 'Crime',"'28,80'"
100270,'Comedy' 'Horror',"'35,27'"
100271,'Comedy' 'Fantasy' 'Animation' 'Drama',"'35,14,16,18'"
100272,'Comedy' 'Drama' 'Horror',"'35,18,27'"
100274,'Thriller' 'Drama' 'Fantasy' 'Horror',"'53,18,14,27'"
100275,'Horror' 'Comedy',"'27,35'"
10028,'Romance' 'Music' 'Family',"'10749,10402,10751'"
100287,'Documentary' 'Science Fiction',"'99,878'"
100288,'Drama','18'
10029,'Comedy' 'Crime' 'Thriller',"'35,80,53'"
100292,'Documentary','99'
10030,'Comedy','35'
10032,'Comedy','35'
10033,'Comedy' 'Romance',"'35,10749'"
10034,'Action' 'Crime' 'Comedy',"'28,80,35'"
100341,'',''
10035,'Comedy' 'Drama' 'Romance',"'35,18,10749'"
100351,'Drama' 'Thriller' 'Romance',"'18,53,10749'"
10036,'Comedy','35'
10037,'Action' 'Adventure' 'Thriller',"'28,12,53'"
10040,'Action' 'Comedy',"'28,35'"
100402,'Action' 'Adventure' 'Science Fiction',"'28,12,878'"
100409,'Foreign','10769'
10041,'Horror' 'Thriller',"'27,53'"
100416,'Comedy','35'
100420,'Drama' 'Fantasy' 'Romance',"'18,14,10749'"
10044,'Action' 'Comedy',"'28,35'"
10045,'Action' 'Thriller' 'Science Fiction',"'28,53,878'"
100450,'',''
10046,'Western','37'
