name,id_original
,6081
Afghanistan,8
Albania,5
Algeria,13
Angola,3
Antarctica,1
Argentina,249
Armenia,8
Aruba,6
Australia,564
Austria,207
Azerbaijan,2
Bahamas,5
Bangladesh,2
Barbados,1
Belarus,9
Belgium,442
Bermuda,1
Bhutan,4
Bolivia,10
Bosnia and Herzegovina,34
Botswana,3
Brazil,290
Brunei Darussalam,1
Bulgaria,56
Burkina Faso,10
Cambodia,9
Cameroon,5
Canada,1744
Cayman Islands,1
Chad,4
Chile,66
China,370
Colombia,34
Congo,5
Costa Rica,6
Cote D'Ivoire,2
Croatia,77
Cuba,24
Cyprus,7
Czech Republic,208
Czechoslovakia,4
Denmark,382
Dominican Republic,8
East Germany,6
Ecuador,10
Egypt,25
El Salvador,3
Estonia,59
Ethiopia,5
Finland,380
France,3900
French Polynesia,1
French Southern Territories,1
Georgia,30
Germany,2240
Ghana,4
Gibraltar,1
Greece,167
Guatemala,6
Guinea,1
Honduras,1
Hong Kong,591
Hungary,168
Iceland,66
India,821
Indonesia,33
Iran,100
Iraq,8
Ireland,224
Israel,146
Italy,2146
Jamaica,4
Japan,1641
Jordan,9
Kazakhstan,21
Kenya,3
Kuwait,1
Kyrgyz Republic,6
Lao People's Democratic Republic,3
Latvia,29
Lebanon,14
Liberia,3
Libyan Arab Jamahiriya,3
Liechtenstein,8
Lithuania,36
Luxembourg,88
Macao,2
Macedonia,15
Madagascar,1
Malaysia,13
Mali,2
Malta,9
Martinique,1
Mauritania,5
Mexico,328
Moldova,1
Monaco,4
Mongolia,3
Montenegro,7
Morocco,32
Myanmar,1
Namibia,3
Nepal,5
Netherlands,370
Netherlands Antilles,1
New Zealand,122
Nicaragua,3
Nigeria,6
North Korea,3
Norway,201
Pakistan,18
Palestinian Territory,10
Panama,7
Papua New Guinea,2
Paraguay,3
Peru,30
Philippines,81
Poland,314
Portugal,128
Puerto Rico,13
Qatar,14
Romania,141
Russia,902
Rwanda,4
Samoa,1
Saudi Arabia,2
Senegal,14
Serbia,105
Serbia and Montenegro,3
Singapore,40
Slovakia,30
Slovenia,31
Somalia,1
South Africa,123
South Korea,494
Soviet Union,20
Spain,956
Sri Lanka,3
Sweden,586
Switzerland,251
Syrian Arab Republic,5
Taiwan,128
Tajikistan,3
Tanzania,2
Thailand,115
Trinidad and Tobago,2
Tunisia,18
Turkey,158
Uganda,2
Ukraine,55
United Arab Emirates,27
United Kingdom,4073
United States Minor Outlying Islands,1
United States of America,21015
Uruguay,18
Uzbekistan,6
Venezuela,19
Vietnam,10
Yugoslavia,4
Zimbabwe,3
