id_pelicula,department,id_y,job,name
862,Directing,7879,Director,John Lasseter
16420,Directing,1748707,Layout,Roman Figun
146599,Directing,1748709,Layout,Desirée Mourad
103,Directing,4945,Director,Joe Johnston
37975,Directing,26502,Director,Howard Deutch
290157,Directing,2178,Director,Forest Whitaker
16388,Directing,56106,Director,Charles Shyer
30765,Directing,638,Director,Michael Mann
9073,Directing,1478953,Script Supervisor,Cate Hardman
65796,Directing,212137,Assistant Director,Michael Waxman
37141,Directing,2226,Director,Sydney Pollack
13701,Directing,1464541,Script Supervisor,Mary A. Kelly
3036,Directing,18357,Director,Peter Hewitt
24070,Directing,37710,Director,Peter Hyams
109560,Directing,10702,Director,Martin Campbell
92769,Directing,1398136,Script Supervisor,June Randall
12122,Directing,3026,Director,Rob Reiner
2064,Directing,14639,Director,Mel Brooks
9331,Directing,21879,Director,Simon Wells
10879,Directing,1152,Director,Oliver Stone
8987,Directing,16938,Director,Renny Harlin
40480,Directing,1032,Director,Martin Scorsese
32502,Directing,1614,Director,Ang Lee
8011,Directing,3110,Director,Allison Anders
171857,Directing,3111,Director,Alexandre Rockwell
2654,Directing,2294,Director,Robert Rodriguez
18069,Directing,138,Director,Quentin Tarantino
2019,Directing,71901,First Assistant Director,Douglas Aarniokoski
31642,Directing,1120536,First Assistant Director,Fernando Altschul
9255,Directing,1342669,Script Supervisor,Jayne-Ann Tenggren
2246,Directing,4489,Director,Steve Oedekerk
21450,Directing,52629,Director,Joseph Ruben
8005,Directing,1534622,Script Supervisor,Corey B. Yugler
33367,Directing,5174,Director,Barry Sonnenfeld
23637,Directing,15148,Director,Jon Amiel
268,Directing,1433649,Script Supervisor,H. Bud Otto
408,Directing,7187,Director,Richard Donner
5801,Directing,56349,Director,Victor Salva
35797,Directing,6111,Director,Mike Figgis
20762,Directing,56710,Director,Oliver Parker
48260,Directing,15798,Director,Lesli Linka Glatter
9103,Directing,7017,Director,Roger Michell
32513,Directing,2419,Director,Jean-Pierre Jeunet
245268,Directing,13680,Director,Marc Caro
55613,Directing,607,Director,Zhang Yimou
77771,Directing,60295,Director,John N. Smith
627,Directing,1342644,Script Supervisor,June Samson
10545,Directing,280,Director,Terry Gilliam
13320,Directing,1546213,Script Supervisor,Marilyn Bailey
303,Directing,3973,First Assistant Director,Mark Egerton
10907,Directing,1215659,Second Assistant Director,Andrew Bernstein
32093,Directing,2352,Director,Jean-Jacques Annaud
260,Directing,1704110,Script Supervisor,Laurence Duval Annaud
76464,Directing,58137,Director,Chris Noonan
39940,Directing,12952,Director,Christopher Hampton
9333,Directing,1406986,Script Supervisor,Penny Eyles
10869,Directing,504,Director,Tim Robbins
10163,Directing,30601,Assistant Director,Allan F. Nicholls
47199,Directing,52991,Assistant Director,Sam Hoffman
9716,Directing,1393455,Script Supervisor,Eva Z. Cabrera
37616,Directing,77867,Director,Stephen Low
102461,Directing,1395701,Script Supervisor,Joe Gonzalez
1630,Directing,17167,Director,Andy Tennant
124837,Directing,57434,Director,Amy Heckerling
10765,Directing,16730,Director,Darrell James Roodt
278621,Directing,33315,Director,Richard Loncraine
10548,Directing,11447,Director,Albert Hughes
104931,Directing,11448,Director,Allen Hughes
26174,Directing,52405,Director,Michael Hoffman
659,Directing,4014,Director,Paul W.S. Anderson
1600,Directing,1158477,Script Supervisor,Jules Stewart
26561,Directing,5216,Director,Gus Van Sant
11455,Directing,3047,Director,Jocelyn Moorhouse
311,Directing,7467,Director,David Fincher
348138,Directing,65530,Director,Mike Gabriel
96288,Directing,65531,Director,Eric Goldberg
11449,Directing,1447483,Layout,Rick Moore
49126,Directing,1447587,Layout,Peter J. Deluca
13549,Directing,55439,Director,Patricia Rozema
28198,Directing,9032,Director,Bryan Singer
154,Directing,1431027,Script Supervisor,Wendy Dallas
9037,Directing,1402170,Script Supervisor,Haley McLane
8818,Directing,100505,Director,Richard W. Munchkin
74239,Directing,1243,Director,Woody Allen
43775,Directing,1459591,Script Supervisor,Kay Chapin
17894,Directing,128107,Director,Gianni Amelio
1968,Directing,71338,Director,Holly Goldberg Sloan
66,Directing,140354,Director,Ulu Grosbard
11419,Directing,30586,Director,Robert Tinnell
638,Directing,1038,Director,Jodie Foster
11844,Directing,958273,Script Supervisor,Dianne Dreyer
49806,Directing,28898,Director,Michael Radford
9405,Directing,38527,Director,Robert Lepage
9360,Directing,7908,Director,Frank Oz
105763,Directing,19304,Director,John Schlesinger
49478,Directing,1341865,Script Supervisor,Ana Maria Quintana
330,Directing,18356,Director,Stephen Herek
1639,Directing,1397738,Script Supervisor,Adrienne Hamalian-Mangine
