id_original,name,id_crew
100,'Guy Ritchie','956.0'
10000,'Sergio Cabrera','61710.0'
10001,'Yahoo Serious','61797.0'
100010,'Frank Borzage','14855.0'
100017,'Angelina Maccarone','40016.0'
10002,'Neil Jordan','17016.0'
100024,'Eric Wostenberg','1022794.0'
10003,'Phillip Noyce','13015.0'
100032,'Larry Elikann','167403.0'
100033,'Hiroshi Shimizu','233660.0'
10004,'Mick Garris','61824.0'
100042,'Bobby Farrelly' 'Peter Farrelly',"'7395.0,7396.0'"
100046,'Lee Kirk','1023127.0'
10005,'James Dodson','61848.0'
100057,'Matt D'Elia','1023310.0'
10006,'James M. Hausler','61877.0'
100061,'Benjamin Gilmour','1023318.0'
100063,'Eddy Matalon','1040919.0'
10007,'Gregory Dark','61894.0'
10008,'Courtney Solomon','61921.0'
100085,'Marta Arribas' 'Ana Pérez',"'1023400.0,1023401.0'"
100086,'Sabiha Sumar','1023415.0'
100088,'Robert Hartford-Davis','97570.0'
100089,'Joseph J. Lawson','1023419.0'
10009,'Aaron Blaise' 'Robert Walker',"'61952.0,61949.0'"
10010,'Ben Gluck','61970.0'
10011,'Ryan Schifrin','61986.0'
100110,'Don Coscarelli','58245.0'
10012,'Wes Craven','5140.0'
100122,'Álvaro Fernández Armero','563824.0'
10013,'Francis Ford Coppola','1776.0'
10014,'Jack Sholder','62020.0'
10015,'Clint Eastwood','190.0'
100152,'Anna Melikyan','460200.0'
10016,'John Carpenter','11770.0'
100167,'Buddy Giovinazzo','28283.0'
10017,'Mike Marvin','56173.0'
100179,'Arnold L. Miller','568430.0'
10018,'Wolfgang Becker','4780.0'
100183,'Steve Barker','56635.0'
100185,'Ray Argall','79690.0'
10019,'Michael Gottlieb','62043.0'
100196,'Alan Wade','1023674.0'
10020,'Gary Trousdale' 'Kirk Wise',"'62047.0,62048.0'"
100205,'Frank Zappa','98539.0'
10021,'Herbert Ross','18378.0'
100215,'Károly Makk' 'János Xantus',"'923620.0,1038547.0'"
10022,'Adam Shankman','20739.0'
100224,'Werner Herzog','6818.0'
10023,'Tom Mankiewicz','7190.0'
10024,'Nick Cassavetes','11151.0'
100241,'Stuart Beattie','1707.0'
100243,'Lars Henning Jung','1023797.0'
100246,'Winsor McCay','1024165.0'
100247,'Winsor McCay' 'J. Stuart Blackton',"'1024165.0,1100017.0'"
10025,'Donald Petrie','18281.0'
100250,'Eugenie Jansen','1024179.0'
100257,'Ken Annakin' 'Harold French' 'Arthur Crabtree' 'Ralph Smart',"'35318.0,97212.0,103589.0,115372.0'"
10027,'Louis Leterrier','18865.0'
100270,'Juan Martínez Moreno','237583.0'
100271,'Hiroyuki Okiura','12178.0'
100272,'Keith Wright','1024214.0'
100274,'Derek Franson','1024215.0'
100275,'Boris Rodriguez','1024216.0'
10028,'Bille Woodruff','62116.0'
100287,'Bente Milton' 'Mikkel Stolt',"'1024221.0,1024222.0'"
100288,'Krzysztof Zanussi','591273.0'
10029,'Peter Berg','36602.0'
100292,'Jacob Hatley','1024227.0'
10030,'Mark Helfrich','1098.0'
10032,'Mort Nathan','57962.0'
10033,'Roger Kumble','11873.0'
10034,'Mel Smith','141450.0'
100341,'Matej Minac','1137410.0'
10035,'Michael Davis','24949.0'
100351,'Gordon Douglas','51677.0'
10036,'Sven Unterwaldt Jr.','59338.0'
10037,'Henry Crum','62303.0'
10040,'John Pasquin','58072.0'
100402,'Anthony Russo' 'Joe Russo',"'19271.0,19272.0'"
100409,'Sophie Fiennes','112201.0'
10041,'Adam Mason' 'Simon Boyes',"'62342.0,118901.0'"
100416,'J.B. Rogers','7409.0'
100420,'Gregory La Cava','74659.0'
10044,'Sammo Hung','62410.0'
10045,'Pierre Morel','35453.0'
100450,'R. Kelly' 'Jim Swaffield',"'94158.0,1024313.0'"
10046,'Jan Kounen','56401.0'
100461,'Nagisa Ōshima','46230.0'
100468,'Corrado Farina','1013895.0'
10047,'Luc Besson','59.0'
10048,'Rob Cohen','18878.0'
10049,'Michael Keusch','55161.0'
100490,'John Erman','150181.0'
100493,'Darren Lynn Bousman','2675.0'
10050,'Tommy O'Haver','62514.0'
10051,'Danièle Thompson','1963.0'
10052,'Tom Shadyac','4499.0'
100526,'Roy Boulting','47517.0'
100528,'Harold S. Bucquet','33026.0'
100529,'Daryl Wein','131870.0'
10053,'Simon West','12786.0'
100532,'Adi Lavy' 'Maya Stark',"'1024813.0,1024814.0'"
10054,'Robert Rodriguez','2294.0'
100540,'Mischa Webley','1024820.0'
100544,'Brian A Miller','1024823.0'
10055,'Michael Hurst','1327402.0'
10056,'Stanley Kubrick','240.0'
100568,'William Roth','1085268.0'
10057,'Stephen Herek','18356.0'
100592,'Jiří Trnka','587535.0'
100594,'Tero Molin' 'Tommi Lepola',"'969801.0,969806.0'"
10060,'Jim Sheridan','53334.0'
100605,'Gregg Toland' 'John Ford',"'8504.0,8500.0'"
10061,'John Carpenter','11770.0'
10063,'Nicholas Mastandrea','35582.0'
100632,'Roy Del Ruth','94218.0'
10064,'David J. Burke','62696.0'
10065,'Andrew Douglas','62721.0'
100656,'Terence Fisher','29662.0'
10066,'Jaume Collet-Serra','59521.0'
100661,'Gerardo de Leon','112403.0'
100669,'James A. Contner','104876.0'
10067,'Brian Robbins','53177.0'
100671,'William O. Brown','1024975.0'
10068,'Adrian Lyne','7270.0'
100681,'Dibakar Banerjee','116143.0'
100683,'John Hyams','62941.0'
10069,'William Brent Bell','62768.0'
10070,'John Gulager','62797.0'
10071,'Bob Odenkirk','59410.0'
10072,'Chuck Russell','26713.0'
10073,'Jason Friedberg' 'Aaron Seltzer',"'35694.0,35734.0'"
10074,'Akiva Schaffer','62854.0'
100747,'Douglas Sirk','46712.0'
10075,'Katja von Garnier','62872.0'
10077,'Peter Hyams','37710.0'
100770,'Robert Hartford-Davis','97570.0'
100776,'D.A. Pennebaker','21113.0'
10078,'Andrew O'Connor','62942.0'
100784,'Aleksey German','270361.0'
100791,'Sarik Andreasyan','232858.0'
100794,'Ermanno Olmi','27213.0'
10081,'Christopher Cain','56828.0'
100812,'Piero Schivazappa','128924.0'
100813,'Robert Greenwald','51521.0'
100814,'Glenn Tryon','80647.0'
100825,'Beverly Kopf' 'Bobbie Birleffi',"'1044951.0,1045994.0'"
10083,'Roger Donaldson','21370.0'
100830,'Romain Lévy','78221.0'
10085,'Jason Todd Ipson','63088.0'
10086,'Benoît Poelvoorde' 'Rémy Belvaux' 'André Bonzel',"'47820.0,63174.0,63175.0'"
10087,'Régis Wargnier','27614.0'
100888,'Giuliano Montaldo','132257.0'
10089,'Charles Band','19707.0'
100894,'Michael Curtiz' 'Archie Mayo',"'4109.0,81165.0'"
100898,'Bavo Defurne','143510.0'
10090,'Ben Garant','59413.0'
100910,'Edward Dmytryk','64114.0'
100914,'Zheng Jun-Li','1112331.0'
10092,'Jeff Wadlow','55075.0'
100923,'Masahiko Nagasawa','235150.0'
10093,'Asif Kapadia','55251.0'
10094,'Ringan Ledwidge','63305.0'
10096,'Gary Winick','17046.0'
10097,'John Boorman','19665.0'
100973,'Colin Nutley','22323.0'
100975,'Jason Alexander','1206.0'
10098,'Charlie Chaplin','13848.0'
101,'Luc Besson','59.0'
101006,'Lisandro Alonso','1002601.0'
10102,'Marco Ferreri','34264.0'
101024,'Wilson Chin' 'Chung Shu-Kai',"'587490.0,1026359.0'"
101029,'Herschell Gordon Lewis','99916.0'
10103,'Kwak Jae-yong','63429.0'
101030,'Nathan H. Juran','44878.0'
10105,'Ryan Little','63477.0'
101056,'Inon Shampanier','1080557.0'
10107,'Todd Holland','1213162.0'
10109,'Wilson Yip','63571.0'
10110,'Steven Spielberg','488.0'
10111,'Debbie Isitt','63589.0'
10112,'Wolfgang Reitherman','57314.0'
101124,'Miao Wang','1067471.0'
101125,'Gregory Hoblit','17812.0'
101135,'Mel Damski','70008.0'
10115,'Jessica Bendinger','53014.0'
10116,'Ten Shimoyama','63689.0'
10117,'Craig R. Baxley','63709.0'
101173,'Ralph Fiennes','5469.0'
101176,'Jonathan Zarantonello','230395.0'
101179,'Robert Heath','145045.0'
10118,'Martha Coolidge','63713.0'
101183,'Claude Chabrol','19069.0'
101185,'Peter Duffell','138167.0'
10119,'Torun Lian','63744.0'
101190,'Jerzy Hoffman' 'Edward Skórzewski',"'113601.0,1026361.0'"
10120,'Dean Hamilton','63771.0'
101206,'Leonide Moguy','1026374.0'
101217,'Zeki Ökten','556839.0'
10122,'Randal Kleiser','8876.0'
101226,'Delbert Mann','67451.0'
101230,'Theo van Gogh','28889.0'
101231,'Luigi Zampa','31890.0'
10124,'Bob Keen','29447.0'
101242,'Mark von Sternberg','1026671.0'
10125,'Dalibor Matanić','63868.0'
10126,'Dennis Hopper','2778.0'
101267,'Dan Cutforth' 'Jane Lipsitz',"'1027017.0,1027018.0'"
10127,'Mick Garris','61824.0'
10128,'Graham Baker','43513.0'
101281,'Frank Tashlin','47399.0'
101288,'Philip Dunne','116326.0'
101289,'Wesley Ruggles','21311.0'
10129,'Joseph Vilsmaier','14614.0'
101293,'Greydon Clark','30689.0'
101297,'Leslie Fenton','95771.0'
101299,'Francis Lawrence','10943.0'
10130,'Michael Apted','10781.0'
101307,'George C. Scott','862.0'
101308,'Bernard McEveety','1211915.0'
10131,'Renny Harlin','16938.0'
10132,'Oliver Stone','1152.0'
101320,'James Head','1212587.0'
101325,'Lawrence Roeck','1027173.0'
10133,'Vincenzo Natali','5877.0'
101330,'Alain Tanner','236362.0'
101338,'Pablo Trapero','56210.0'
10134,'Albert Pyun','63937.0'
101342,'João César Monteiro','257772.0'
10135,'Rowdy Herrington','63943.0'
101352,'Dieudonné M'bala M'bala','140457.0'
10136,'Michael Ritchie','12964.0'
101362,'Jan Batory','587204.0'
101363,'Stuart Gordon','27991.0'
10137,'Rob Minkoff','18898.0'
101376,'Nahid Persson Sarvestani','1024845.0'
10138,'Jon Favreau','15277.0'
101382,'Kenji Mizoguchi','97202.0'
101383,'Julian Johnson','772490.0'
10139,'Gus Van Sant','5216.0'
10140,'Michael Apted','10781.0'
10141,'Frank Oz','7908.0'
10142,'Brian De Palma','1150.0'
101420,'Michel Monty','190102.0'
101422,'J. Lee Thompson','18669.0'
10144,'Ron Clements' 'John Musker',"'15810.0,15811.0'"
101444,'Antonio Margheriti','5561.0'
101449,'Jay Karas','84074.0'
10145,'Joseph Ruben','52629.0'
10146,'Doris Dörrie','18969.0'
10147,'Terry Zwigoff','17447.0'
101482,'Pál Fejős','544711.0'
10149,'Wayne Wang' 'Paul Auster',"'39819.0,46391.0'"
10150,"'Jules Bass' 'Arthur Rankin, Jr.'","'16410.0,16411.0'"
101501,'Jason Stoddard','1027827.0'
101503,'Chuck Jones','100888.0'
10151,'Samir','64004.0'
101514,'Bill Corcoran','94045.0'
101519,'Crispian Mills' 'Chris Hopewell',"'1055220.0,1055221.0'"
10152,'Troy Miller','58868.0'
101520,'Catherine Bainbridge' 'Neil Diamond' 'Jeremiah Hayes',"'1261310.0,1379811.0,1379812.0'"
10153,'Barry Levinson','8246.0'
101538,'Claudio Biern Boyd','1026316.0'
10154,'Kelly Makin','64030.0'
10155,'Oliver Stone','1152.0'
101553,'Tinto Brass','58021.0'
101557,'William A. Wellman','14643.0'
10156,'Mel Brooks','14639.0'
101566,'Amir Naderi','72196.0'
10157,'Jerry Paris','41720.0'
10158,'Ron Shelton','4037.0'
10159,'Peter Berg','36602.0'
101598,'Robert Florey','29808.0'
10160,'Stephen Hopkins','2042.0'
101609,'Denis Delestrac','1046529.0'
10161,'Jim Sheridan','53334.0'
10162,'Kirk Jones','64045.0'
10163,'Brett Leonard','57090.0'
10164,'Roger Donaldson','21370.0'
10165,'Stanley Kubrick','240.0'
101652,'Bitto Albertini','985182.0'
101653,'John Sturges','14520.0'
10166,'Nicolas Roeg','14132.0'
101660,'Kenneth Johnson','19142.0'
101665,'Yukihiko Tsutsumi','81355.0'
101669,'Darren Lynn Bousman','2675.0'
10167,'Don Michael Paul','27005.0'
10168,'Andrew Bergman','41550.0'
10169,'Emilio Estevez','2880.0'
10170,'Fred Schepisi','64061.0'
10171,'Volker Schlöndorff','10249.0'
101715,'Jonathan Hock','92936.0'
10172,'Steve Carr','52112.0'
101724,'Patrick Rea','1028435.0'
10173,'Dwight H. Little','56998.0'
101731,'Rob Reiner','3026.0'
101733,'Noboru Iguchi','76171.0'
10174,'Alek Keshishian' 'Mark Aldo Miceli',"'50949.0,64073.0'"
101740,'Masaki Kobayashi','76978.0'
101752,'Hidekazu Takahara','1028521.0'
10176,'Geoff Murphy','32277.0'
101766,'Kim Tae-gyun','116181.0'
10177,'Jake West','64108.0'
101772,'Leopold Lindtberg','221879.0'
10178,'Edward Dmytryk','64114.0'
101783,'Rohit Shetty','86783.0'
10179,'Stewart Raffill','59023.0'
101791,'Ryan Andrews','1091549.0'
1018,'David Lynch','5602.0'
10180,'Anders Thomas Jensen','1012.0'
101801,'Petr Zelenka','96387.0'
101803,'Paul Joyce','147434.0'
101806,'David Hand','5446.0'
101818,'PES','1117498.0'
10183,'Courtney Hunt','64131.0'
10184,'Ken Kwapis','29009.0'
10185,'Ryûhei Kitamura','45996.0'
101852,'Kurt Kuenne','80207.0'
101858,'Roscoe 'Fatty' Arbuckle','89602.0'
10186,'Peter Cattaneo','57630.0'
101860,'Kenneth A. Carlson','942224.0'
10187,'Joshua Michael Stern','64139.0'
10188,'Sanaa Hamri','64140.0'
101887,'Roger Spottiswoode','1724.0'
10189,'David Gordon Green','64141.0'
10190,'Alan Ball','2152.0'
101904,'Jean-Paul Civeyrac','1029284.0'
101908,'Wang Xiaoshuai','1016305.0'
10191,'Chris Sanders' 'Dean DeBlois',"'66193.0,69797.0'"
101915,'David Blair','112833.0'
101916,'Stefan Pleszczynski','137575.0'
101917,'Mijke de Jong','132455.0'
10192,'Mike Mitchell','64151.0'
101929,'Masaki Kobayashi','76978.0'
10193,'Lee Unkrich','8.0'
10195,'Kenneth Branagh','11181.0'
101956,'Erik S. Weigel','1029699.0'
10196,'M. Night Shyamalan','11614.0'
101965,'Shunji Iwai','55785.0'
101968,'Jeff Kopas','1029713.0'
10197,'Rob Marshall','17633.0'
10198,'Ron Clements' 'John Musker',"'15810.0,15811.0'"
10199,'Robert Stevenhagen' 'Sam Fell',"'64152.0,58897.0'"
101995,'Zeki Demirkubuz','145518.0'
101998,'Laurent Cantet','17386.0'
102,'Susanne Bier','1011.0'
10200,'Scott Derrickson','55499.0'
102000,'Ursula Meier','72299.0'
102001,'Abbas Kiarostami','119294.0'
10201,'Peyton Reed','59026.0'
10202,'Adam Shankman','20739.0'
102024,'Rasmus Breistein','224788.0'
102032,'Stuart Schulberg','1029811.0'
102038,'Gordon Douglas','51677.0'
102039,'Craig Baldwin','84445.0'
10204,'Frank Coraci','57370.0'
102041,'Tony Gerber','1157689.0'
10205,'Kimble Rendall','64163.0'
102051,'Bryan Lefler','1029825.0'
102053,'Ryan Polito','109744.0'
102057,'Bud Yorkin','69946.0'
102059,'Lewis Teague','21819.0'
10206,'Fran Rubel Kuzui','64170.0'
10207,'Luis Mandoki','46085.0'
102078,'Rudolph Maté','11593.0'
10208,'Tim Hill','49903.0'
102081,'Carol Reed','15378.0'
10209,'Gillies MacKinnon','33405.0'
102091,'Richard Brooks','3632.0'
10210,'Michael Hoffman','52405.0'
10212,'Antonia Bird','42617.0'
10213,'P.J. Pesce','64190.0'
10214,'Lawrence Guterman','64191.0'
102144,'Edmund Goulding','34740.0'
10215,'Peter Howitt','7791.0'
102155,'Stuart Heisler','81285.0'
10216,'Peter Medak','21377.0'
102161,'Chuck Jones','100888.0'
102165,'Daniel Mann','90522.0'
10217,'Atom Egoyan','56205.0'
10218,'Doug Liman','11694.0'
10219,'Scott Hicks','33433.0'
102195,'Gordon Douglas','51677.0'
102197,'Aleksey Andrianov','1030310.0'
102198,'Harry Winer','92554.0'
10220,'John Dahl','21053.0'
102207,'Alain Chabat','4275.0'
10222,'Jean-Claude Van Damme' 'David Worth' 'Mark DiSalle',"'15111.0,22012.0,64681.0'"
102222,'Jason Connery','25527.0'
102227,'Koki Mitani','236470.0'
10223,'Sam Raimi','7623.0'
102234,'Anders Engström','138205.0'
102242,'Charlie Jordan','1692854.0'
10225,'Tom McLoughlin','63550.0'
102256,'Filip Tegstedt','1343380.0'
10226,'Alexandre Aja','59291.0'
10227,'Jacques Tati','5763.0'
102272,'Volker Schlöndorff','10249.0'
10228,'Michael Haigney' 'Kunihiko Yuyama',"'65428.0,65429.0'"
102286,'Ralph Nelson','16888.0'
102288,'R.G. Springsteen','29317.0'
102289,'Allan Dwan','93905.0'
10229,'Adam Shankman','20739.0'
102292,'Thierry Binisti','586317.0'
102295,'John Sturges','14520.0'
1023,'Anders Thomas Jensen','1012.0'
102304,'Susan Skoog','1030415.0'
102305,'Chris Eska','983547.0'
10232,'Daniel Schmid','64219.0'
102331,'Mushon Salmona','1030478.0'
102337,'Srđan Vuletić','1030481.0'
10234,'Michael Haneke','6011.0'
10235,'Sergei M. Eisenstein' 'Dmitriy Vasilev',"'9603.0,1187223.0'"
10236,'Sydney Pollack','2226.0'
102362,'Niels Arden Oplev','19346.0'
102363,'Igor Voloshin','1030499.0'
102368,'Carlos Saura','96369.0'
10237,'Leonard Kastle','64214.0'
10238,'Ingmar Bergman','6648.0'
102382,'Marc Webb','87742.0'
102384,'Lewis Milestone','2000.0'
10239,'Éric Rohmer','28615.0'
1024,'Peter Jackson','108.0'
10241,'Éric Rohmer','28615.0'
102419,'Lance Comfort','122905.0'
10242,'Robert Aldrich','18392.0'
102420,'Joe Zerull','1030559.0'
102428,'Carlos Saura','96369.0'
10243,'Robert Aldrich','18392.0'
102431,'Don McBrearty','168782.0'
10244,'Rainer Werner Fassbinder','2725.0'
102444,'Peter Sasdy','100296.0'
10246,'Bob Clark','12698.0'
102461,'Benoît Jacquot','229263.0'
10247,'Frank A. Cappello','10948.0'
10248,'Mark Schippert','64250.0'
102488,'Henry Levin','39743.0'
102489,'André Téchiné','96627.0'
10249,'Joe Johnston','4945.0'
10251,'Warren P. Sonoda','63852.0'
102517,'Manny Rodriguez','140244.0'
102524,'Roberto Rossellini','4410.0'
102526,'Richard Thorpe','70862.0'
102527,'Jari Kokko','1031196.0'
10253,'Shim Hyung-Rae','64331.0'
102533,'Sólveig Anspach','1031204.0'
102534,'Zaida Bergroth','124856.0'
10254,'Panna Rittikrai','57274.0'
102541,'Alfred Santell','89683.0'
10257,'Corey Yuen Kwai' 'Patrick Leung',"'35452.0,64423.0'"
10258,'Gary Trousdale','62047.0'
102596,'Jonathan Gruber' 'Ari Daniel Pinchot',"'1031221.0,1031222.0'"
102597,'Robert Aldrich','18392.0'
10260,'Claude Zidi','11201.0'
10261,'Blake Edwards','1927.0'
102622,'Tim Kirkby','142517.0'
102629,'Eduardo Rodríguez','995407.0'
10263,'Jeremy Haft','64459.0'
102630,'Eduardo Rodríguez','995407.0'
102632,'Prabhu Deva','89154.0'
102639,'Dustin Lance Black','123997.0'
10264,'Franco Zeffirelli','24657.0'
102640,'Nancy Savoca','93025.0'
10265,'Jingle Ma','46325.0'
102651,'Robert Stromberg','1032536.0'
102668,'Cameron Casey','1031752.0'
10268,'Isabelle Mergault','64534.0'
10269,'Barbra Streisand','10400.0'
102691,'Werner Herzog','6818.0'
102699,'Elia Kazan','2746.0'
10270,'Johannes Jaeger','64554.0'
102707,'Edgar Neville','144734.0'
10271,'Laurent Tirard','64575.0'
10272,'Nick Stillwell','64625.0'
102732,'Roberto Benabib','1214449.0'
10274,'Harvey Kahn','32733.0'
102743,'Lawrence Michael Levine','1031944.0'
10275,'Cheung Yam-Yim','1342845.0'
10276,'Frank Oz','7908.0'
10278,'Joseph Ruben','52629.0'
102780,'Neil Jordan','17016.0'
102784,'Afonso Poyart','1032011.0'
10279,'Spike Lee','5281.0'
10280,'Tom Holland','64796.0'
102807,'Denis Côté','236421.0'
102809,'Weikai Huang','1032022.0'
10281,'John Carl Buechler','64722.0'
102812,'Francine Parker','1032028.0'
102814,'Malcolm Leo','108128.0'
10283,'Rob Hedden','64735.0'
102831,'Wendell B. Harris','1032056.0'
102841,'Joan Rivers','14670.0'
10285,'Adam Marcus','64743.0'
102851,'Seyyed Reza Mir-Karimi','1168560.0'
102855,'Ramona S. Diaz','1157065.0'
102858,'Harmony Korine' 'Aleksey Fedorchenko' 'Jan Kwiecinski',"'51918.0,143671.0,1063506.0'"
102860,'Julia Murat','1053934.0'
102862,'Jamie Meltzer','1032100.0'
102867,'Elizabeth Mims' 'Jason Tippet',"'1085792.0,1085796.0'"
102870,'Filippos Tsitos','221466.0'
102871,'Rolando Colla','1014561.0'
102873,'Victor Kossakovsky','998555.0'
102878,'Seth Zvi Rosenfeld','1032175.0'
10288,'Andrew Currie','64754.0'
102899,'Peyton Reed','59026.0'
102901,'Benito Perojo','1031934.0'
102909,'Ian Barry','152510.0'
102913,'Erik Løchen','1032520.0'
10292,'Mary Lambert','56263.0'
10293,'Éric Rohmer','28615.0'
102931,'Peter Markle','67632.0'
102933,'Allison Anders','3110.0'
102935,'Rebecca Richman Cohen','1032557.0'
102938,'Richard T. Heffron','35525.0'
10294,'Nimród Antal','41671.0'
102947,'Armand Mastroianni','128639.0'
102949,'Duccio Tessari','99511.0'
102959,'Mario Siciliano','29388.0'
10296,'Nick Love','41530.0'
102961,'Andy Sidaris','98136.0'
10297,'Jean Negulesco','19606.0'
10299,'Robert Aldrich','18392.0'
103,'Martin Scorsese','1032.0'
103012,'Avie Luthra','176485.0'
103014,'Nick Castle','14692.0'
10303,'Lewis Teague','21819.0'
10304,'Phil Tippett','7727.0'
103048,'Rajkumar Santoshi','87772.0'
10305,'Claude Chabrol','19069.0'
10306,'Gary Sherman','33094.0'
103066,'Shôichirô Masumoto','223290.0'
103067,'Maurizio Lucidi','100054.0'
10307,'Rupert Wainwright','11809.0'
103073,'Govind Nihalani','544984.0'
10308,'Rainer Werner Fassbinder' 'Michael Fengler',"'2725.0,9935.0'"
103081,'Tim Fywell','125544.0'
10309,'Rainer Werner Fassbinder','2725.0'
10310,'Rainer Werner Fassbinder','2725.0'
10311,'Rainer Werner Fassbinder','2725.0'
103119,'Robert Wise','1744.0'
10312,'Tom Shadyac','4499.0'
103122,'Marino Girolami','38585.0'
10313,'Grant Heslov','31511.0'
10314,'Robert Iscove','64815.0'
10315,'Wes Anderson','5655.0'
10316,'George Clooney','1461.0'
103161,'Robert Greene','929343.0'
103162,'Robert B. Weide','74159.0'
103164,'John Farrow','50300.0'
103168,'George Archainbaud','101885.0'
10317,'David Gordon Green','64141.0'
103173,'Fumihiko Sori','70103.0'
103181,'Lonny Price','729.0'
10319,'Werner Herzog','6818.0'
