name,id,revenue
,11572.0,1757676308.0
"""DIA"" Productions GmbH & Co. KG",1.0,44350926.0
# Andrea Sperling Productions,1.0,0.0
# Lexyn Productions,1.0,0.0
'A' Production Committee,1.0,0.0
(주)로드픽쳐스,1.0,0.0
(주)로제타시네마,1.0,0.0
(주)비에이엔터테인먼트,1.0,0.0
", Flaminia Produzioni Cinematografiche",1.0,0.0
", Planet Productions",1.0,0.0
.406 Production,1.0,0.0
01 Distribution,1.0,0.0
1.85 Films,2.0,98017.0
10 West Studios,1.0,0.0
100 Bares,2.0,57965843.0
100 Feet Productions,1.0,0.0
100 doo,1.0,0.0
100% Halal,1.0,0.0
100% Synthetic Films,1.0,0.0
1000 Volt,1.0,138730.0
1019 Entertainment,1.0,2801508.0
101st Street Films,1.0,0.0
108 Media,1.0,0.0
108 Sound Studio,1.0,0.0
10dB Inc.,1.0,0.0
10th Hole Productions,3.0,34829670.0
11:11 Mediaworks,3.0,119188334.0
12 Gauge Productions,1.0,0.0
120 Films,6.0,49382792.0
1201,1.0,0.0
120dB Films,11.0,1206313.0
129 Productions,1.0,0.0
13 All Stars LLC,1.0,0.0
13 Ghosts Productions Canada Inc.,1.0,0.0
13 Productions,4.0,25461.0
13 TV,1.0,0.0
13th Dimensional Video,1.0,0.0
14 Luglio Cinematografica,1.0,0.0
14 Reels Entertainment,2.0,0.0
141 Entertainment,1.0,0.0
1428 Films,1.0,0.0
1492 Pictures,19.0,5470573905.0
16 Block Productions,1.0,65664721.0
1600 Limited Partnership,1.0,25804707.0
1618 Action Limited,1.0,0.0
1718 Studio,1.0,0.0
180 Degrees,1.0,0.0
1812 Productions,1.0,0.0
1818,1.0,12232628.0
1821 Pictures,5.0,55405690.0
185 Trax,1.0,0.0
185º Equator,1.0,0.0
19 Entertainment,2.0,13225427.0
1976 Productions,1.0,4793.0
1984 Private Defense Contractors,7.0,190619464.0
1992 Number Four Limited Partnership,1.0,0.0
2 Bridges Productions,1.0,7306.0
2 Die 4 Films,1.0,0.0
2 Entertain,2.0,50515963.0
2 Loop Films,1.0,150277.0
2 Man Production,1.0,0.0
2 Player Productions,1.0,0.0
2 Smooth Film Productions,1.0,0.0
2 Wolves Films,1.0,0.0
2 minutes,1.0,0.0
2-Team Productions,3.0,0.0
2.4.7. Films,2.0,0.0
2/35,5.0,0.0
20 Steps Productions,2.0,0.0
2003 Productions,1.0,0.0
2077883 Ontario,1.0,0.0
20ten Media,1.0,0.0
20th Century Fox,6.0,159202963.0
20th Century Fox Film Corporation,2.0,0.0
20th Century Fox Home Entertainment,18.0,17280326.0
20th Century Fox Home Entertainment Japan,1.0,0.0
20th Century Fox Russia,3.0,106894667.0
20th Century Fox Television,22.0,42000000.0
20th Century Fox de Argentina,1.0,0.0
20th Century Pictures,10.0,0.0
21 Laps Entertainment,16.0,2673526504.0
21 One Productions,1.0,0.0
21 Unofilm,1.0,0.0
21st Century 3D,1.0,270210.0
21st Century Film Corporation,5.0,7537641.0
22 & Indiana Pictures,1.0,542307423.0
22 Dicembre,2.0,0.0
224 Entertainment,1.0,0.0
2262730 Ontario,1.0,2521.0
22h22,5.0,8812494.0
23 Giugno,2.0,0.0
23/5 Filmproduktion,2.0,0.0
23/5 Filmproduktion GmbH,1.0,0.0
235 Films,1.0,0.0
24 Frames Digital Films,1.0,0.0
24 Horses,1.0,0.0
24 Mai Productions,4.0,0.0
24 Seven Productions,1.0,0.0
24/7 Films,1.0,0.0
2425 Films,1.0,0.0
2425 PRODUCTION,1.0,0.0
24P Media Group,1.0,3639345.0
24TL Productions,1.0,0.0
26 Films,4.0,67689903.0
27 Films Production,1.0,8135031.0
27 Productions,1.0,0.0
29 fevralya,1.0,0.0
2929 Productions,20.0,221515558.0
2B Films,2.0,0.0
2D Celluloid,1.0,0.0
2D Entertainment,1.0,15000000.0
2DS Productions,2.0,0.0
2DUX²,1.0,531865000.0
2L Productions,1.0,0.0
2M,1.0,0.0
2Pilots Filmproduction,1.0,0.0
2Plan2,1.0,2209023.0
2S Films,1.0,59901913.0
2T Produzione Film,1.0,606694.0
2afilm,1.0,0.0
2am Films,1.0,0.0
3 Art Entertainment,1.0,230884728.0
3 Arts Entertainment,20.0,1050415510.0
3 Arts Productions,1.0,0.0
3 Days in Vegas,1.0,6134438.0
3 Dogs and a Pony,2.0,0.0
3 Generations,1.0,0.0
3 Legged Dog Films,2.0,0.0
3 Miles Apart Productions Ltd.,1.0,0.0
3 Ring Circus Films,2.0,0.0
3 Sat,1.0,0.0
3 emme cinematografica,1.0,0.0
3 in the Box,2.0,14109284.0
"3, 4 Women Productions",1.0,0.0
3-H Films,5.0,0.0
31 Juin Films,2.0,0.0
3210 Films,1.0,0.0
33 Pictures,1.0,0.0
3311 Productions,6.0,6337809.0
33andOut Productions,2.0,188642760.0
343 Industries,2.0,0.0
34th Street Films,2.0,16337881.0
360 Pictures,5.0,16783664.0
369 Productions,1.0,24000000.0
38 Pictures Films,1.0,0.0
38 Productions,1.0,0.0
391 Productions,2.0,1929168.0
3:41am,1.0,0.0
3B Productions,16.0,575921.0
3D Content Hub,1.0,0.0
3D Entertainment,1.0,0.0
3D Films,1.0,0.0
3D Sea Inc.,1.0,0.0
3D Video System,1.0,0.0
3DTK,1.0,52597999.0
3Foot7,1.0,956019788.0
3H Productions,1.0,0.0
3L Filmproduktion GmbH,2.0,19776159.0
3L Filmverleih,2.0,5549200.0
3L Productions,1.0,0.0
3Mark Entertainment,1.0,4720371.0
3Sat,2.0,0.0
3ality Digital Entertainment,1.0,22730842.0
3b productions,4.0,0.0
3rd Street Pictures,1.0,0.0
3rd Vision Films,1.0,0.0
3sat,1.0,0.0
4 1/2,2.0,0.0
4 1/2 Film,4.0,0.0
4 Cats Pictures,1.0,8306690.0
4 Film,2.0,0.0
4 Kids Entertainment,8.0,487328091.0
40 Acres & A Mule Filmworks,35.0,465701025.0
403 Productions,1.0,27762648.0
42,2.0,10784467.0
42 Films,2.0,0.0
42 Km Film,5.0,81806.0
42 Productions,1.0,0.0
424 Post,1.0,0.0
430 Productions,1.0,0.0
4321 Productions,1.0,0.0
441 Films,1.0,0.0
44th Floor Productions,1.0,0.0
455 Films,3.0,0.0
47 Entertainment,1.0,0.0
49 Film,1.0,0.0
49th Parallel Productions,1.0,0.0
4Cows,1.0,0.0
4DH Films,1.0,2260712.0
4Go West Productions,1.0,0.0
4Kids Entertainment,3.0,133949270.0
4L,3.0,0.0
4M,1.0,94000000.0
4dvd,1.0,0.0
4k Films,1.0,0.0
4th Row Films,3.0,0.0
4th Wall Entertainment,1.0,0.0
4½,1.0,0.0
5 Continents,1.0,0.0
5 Star Productions,1.0,0.0
5 States,1.0,0.0
5-Second Films,1.0,0.0
5060 Productions,1.0,0.0
512K Entertainment,1.0,0.0
5150 Action,4.0,506123350.0
54 Days Productions,1.0,0.0
59 Films,2.0,0.0
5AM Producciones,1.0,0.0
60/80 Productions,1.0,6488144.0
606 Films,1.0,24527158.0
61* Productions Inc.,1.0,0.0
6140 Productions,1.0,0.0
7 Films Cinéma,3.0,0.0
7 Network,1.0,0.0
7 Pictures,1.0,8.0
700 Pictures,1.0,0.0
717 Productions,1.0,0.0
72 Productions,2.0,0.0
72nd Street Productions,1.0,0.0
75 Films,1.0,0.0
777 Films Corporation,3.0,0.0
7Glab Entertainment,1.0,0.0
7Heaven Productions,1.0,0.0
7th Sense Films,1.0,0.0
80 Days Productions,1.0,72178895.0
8180 Films,1.0,0.0
8383 Productions,3.0,124934.0
852 Films,2.0,0.0
8750 Films,1.0,0.0
87Eleven,4.0,390655679.0
88mm Productions,1.0,0.0
8:38 Productions,1.0,122126687.0
8Heads Productions,1.0,0.0
8bit,1.0,0.0
8th In Line,1.0,0.0
9 Story Media Group,1.0,0.0
9.14 Pictures,3.0,0.0
9/02 Entertainment,1.0,0.0
9/6 Cinema Factory,1.0,0.0
900 Films,1.0,0.0
98 MPH Productions,1.0,75597042.0
9ers Entertainment,3.0,0.0
A & A Release,1.0,0.0
A & D Studios,1.0,0.0
A & S Productions,1.0,0.0
A + C Reuter New Cinema,1.0,0.0
A Atalanta,1.0,0.0
A B Corp,1.0,0.0
A Bad Way Ltd,1.0,102471.0
A Band Apart,9.0,897141889.0
A BandApart,1.0,0.0
A Bee One Productions,1.0,0.0
A Bigger Boat,3.0,47851965.0
A Company Filmproduktionsgesellschaft,2.0,0.0
A Contracorriente Films,5.0,1440000.0
A Contraluz Films,1.0,0.0
A Don Boyd Production,1.0,0.0
A Erre Cinematografica,1.0,0.0
A Farewell to Kings Entertainment Company,1.0,0.0
A Film Monkey Production,2.0,0.0
A Grand Elephant,2.0,10337387.0
A Happy Place,1.0,0.0
A Hot Dog,1.0,24159934.0
A Loopy Production LLC,1.0,150277.0
A Lucky Old Sun Production,1.0,0.0
A Major Films,1.0,0.0
A Million Monkeys,1.0,0.0
A Plus Image,2.0,64867093.0
A Plus Image 2,1.0,10759.0
A Plus Image 4,1.0,0.0
A Plus Image 5,1.0,248392.0
A Plus Image 6,1.0,0.0
A Private View,5.0,0.0
A Ronald Neame Production,1.0,0.0
A Small Production Company,1.0,0.0
A Space Between,1.0,0.0
A Team Productions,1.0,0.0
A Ticklish Tale,1.0,0.0
A%26E IndieFilms,1.0,0.0
A&B Producoes,1.0,109423648.0
A&E Home Entertainment,1.0,0.0
A&E IndieFilms,4.0,0.0
A&E Networks,2.0,0.0
A&E Television Networks,9.0,351040419.0
A&F Productions,1.0,0.0
A&M Films,9.0,68083268.0
A&M Sound Pictures,1.0,0.0
A+E Studios,5.0,0.0
A-1 Kino Video,2.0,8910819.0
A-1 Pictures,5.0,0.0
A-Film Distribution,1.0,0.0
A-Film Home Entertainment,1.0,0.0
A-Line Pictures,1.0,49084830.0
A-Mark Entertainment,7.0,15309302.0
A-Pix Entertainment,4.0,0.0
A-Team,3.0,31755742.0
A. C. I. Films,1.0,0.0
A. Film,5.0,0.0
A. Ninety-Three Productions,1.0,0.0
A.C. Lyles Productions,1.0,0.0
A.C.E.,1.0,0.0
A.D.I. Inc.,1.0,0.0
A.E. Media Corporation,1.0,0.0
A.F. Cinema e Vídeo,1.0,3.0
A.G. Films,2.0,36500000.0
A.I.P. Productions,1.0,0.0
A.J. Films,2.0,0.0
A.J.O.Z. Films,5.0,71462171.0
A.L. Production,1.0,0.0
A.M. Trading International S.r.l.,1.0,0.0
A.M.A. Film,5.0,5932791.0
A.M.S. Productions,1.0,0.0
A.N.P.A. (Agence Nationale de Promotion de l'Audiovisuel),1.0,0.0
A.P.E.C.,1.0,0.0
A.P.P.P.,1.0,0.0
A.S. Films,3.0,342183.0
A.T.P.I.P. Producciones,1.0,0.0
A.U.M. Films,1.0,0.0
A.V.H. San Luis,1.0,0.0
A113,1.0,209154322.0
A2 Entertainment Group,1.0,7306.0
A24,42.0,246822978.0
A71 Productions,2.0,0.0
AA Film Prodüksiyon,1.0,0.0
AAA Productions,1.0,0.0
AAC Kids,1.0,0.0
AAMPI Inc.,1.0,0.0
AAR Films,1.0,0.0
AARU Productions,2.0,0.0
AB Europa Film,1.0,0.0
AB Film-Teknik,1.0,0.0
AB Films,1.0,0.0
AB Publikfilm,1.0,0.0
AB Ri-Film,1.0,0.0
AB Svensk Filmindustri,1.0,0.0
AB Svenska Ord,2.0,0.0
AB Video Solutions,1.0,0.0
AB-PT Pictures Corp.,2.0,0.0
AB3,1.0,0.0
ABC Circle Films,12.0,0.0
ABC Entertainment,2.0,0.0
ABC Family,6.0,0.0
ABC Film A/S,1.0,0.0
ABC Motion Pictures,3.0,40386599.0
ABC News,1.0,0.0
ABC Pictures,10.0,44445393.0
ABC Pictures International,1.0,0.0
ABC Productions,4.0,0.0
ABC Studios,2.0,0.0
ABC TV,1.0,0.0
ABC Video Enterprises,1.0,0.0
ABKCO Music and Records,1.0,0.0
ABS-CBN Film Productions,6.0,466092.0
ACCI,1.0,0.0
ACH,3.0,0.0
ACTR Productions,1.0,0.0
AD406,1.0,0.0
ADC Films,3.0,0.0
ADCB Films,3.0,0.0
ADF Acquisitions,1.0,10501938.0
ADF Studios,1.0,0.0
ADHM Films,1.0,0.0
ADPProductions,1.0,0.0
ADR Productions,5.0,0.0
ADV Films,4.0,0.0
AE Electra Productions,1.0,19258519.0
AE Two Film Productions,1.0,29700000.0
AEC,1.0,0.0
AFC,4.0,0.0
AFG Talons Productions,1.0,76932943.0
AFS Film,1.0,15530077.0
AG Productions,1.0,0.0
AGGK Films,1.0,0.0
AGI Entertainment,1.0,0.0
AGS Entertainment,4.0,0.0
AI-Film,3.0,69410642.0
AIC,3.0,0.0
AJBA Productions,1.0,0.0
